"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1","功能 2","功能 3","功能 4",功能 5
"1","RESERVED","SPI_CLK","GPIO19",,"SPI1_CLK",,
"2","RESERVED","SPI_RXD","GPIO30","UART1_RXD","SPI1_MISO",,
"3","RESERVED","SPI_TXD","GPIO20","UART1_TXD","SPI1_MOSI",,
"4","RESERVED","SPI_CS","GPIO35",,"SPI1_CS",,
"5","USIM1_CLK","USIM1_CLK",,,,,
"6","USIM1_DATA","USIM1_DATA",,,,,
"7","USIM1_RST","USIM1_RST",,,,,
"8","USIM1_VDD","USIM1_VDD",,,,,
"9","USIM1_DET","USIM1_DET",,,"I2C0_SCL",,
"10","RESERVED","CAM_MCLK","GPIO1",,,,
"11","RESERVED","CAM_l2C_SCL","GPIO2",,,,
"12","RESERVED","CAM_I2C_SDA","GPIO3",,,,
"13","RESERVED","CAM_SPI_CLK","GPIO4",,,,
"14","RESERVED","CAM_SPI_DATA0","GPIO5",,,,
"15","RESERVED","CAM_SPI_DATA1","GPIO6",,,,
"16","RESERVED","CAM_PWDN","GPIO7",,,,
"17","RESERVED","CAM_VDD",,,,,
"18","GND","GND",,,,,
"19","ADC0","ADC0",,,,"ADC0",
"20","ADC1","ADC1",,,,"ADC1",
"21","SPK_N","SPK_N",,,,,
"22","SPK_P","SPK_P",,,,,
"23","MIC_N","MIC_N",,,,,
"24","MIC_P","MIC_P",,,,,
"25","MIC_BIAS","MIC_BIAS",,,,,
"26","USB_DP","USB_DP",,,,,
"27","USB_DM","USB_DM",,,,,
"28","USB_VBUS","USB_VBUS",,,,,
"29","VBAT_BB","VBAT_BB",,,,,
"30","GND","GND",,,,,
"31","MAIN_RXD","MAIN_RXD","GPIO36","UART2_RXD",,,
"32","MAIN_TXD","MAIN_TXD","GPIO37","UART2_TXD",,,
"33","MAIN_CTS","MAIN_CTS","GPIO38","UART1_TXD [3]_ ",,,
"34","MAIN_RTS","MAIN_RTS","GPIO39","UART1_RXD [3]_",,,
"35","GND","GND",,,,,
"36","VBAT_RF","VBAT_RF",,,,,
"37","VBAT_RF","VBAT_RF",,,,,
"38","GND","GND",,,,,
"39","MAIN_DTR","MAIN_DTR","GPIO8",,,,
"40","MAIN_RI","MAIN_RI","GPIO9",,,,
"41","RESERVED","RESERVED",,,,,
"42","RESERVED","RESERVED",,,,,
"43","GND","GND",,,,,
"44","GND","GND",,,,,
"45","GND","GND",,,,,
"46","ANT_MAIN","ANT_MAIN",,,,,
"47","GND","GND",,,,,
"48","MAIN_DCD","MAIN_DCD","GPIO10",,,,KP_MKIN[1]
"49","WAKEUP_IN","WAKEUP_IN","GPIO21",,,,KP_MKOUT[1]
"50","AP_READY","AP_READY","GPIO22",,,,KP_MKIN[2]
"51","W_DISABLE#","W_DISABLE#","GPIO23",,,,KP_MKOUT[2]
"52","NET_MODE","NET_MODE","GPIO24",,,,KP_MKIN[3]
"53","SLEEP_IND","SLEEP_IND","GPIO25",,,,KP_MKOUT[3]
"54","STATUS","STATUS","GPIO26",,,,KP_MKIN[2]
"55","NET_STATUS / USB_BOOT","NET_STATUS / USB_BOOT","GPIO27",,,,KP_MKOUT[4]
"56","I2C_SDA","I2C_SDA","GPIO28",,"I2C1_SDA","PWM1",KP_MKOUT[5]
"57","I2C_SCL","I2C_SCL","GPIO29",,"I2C1_SCL","PWM0",KP_MKIN[5]
"58","PCM_SYNC","PCM_SYNC","GPIO11",,"SPI0_CS",,
"59","PCM_DIN","PCM_DIN","GPIO12",,"SPI0_MOSI",,
"60","PCM_DOUT","PCM_DOUT","GPIO13",,"SPI0_MISO",,
"61","PCM_CLK","PCM_CLK","GPIO14",,"SPI0_CLK",,
"62","RESERVED","LCD_TE","GPIO15",,,,
"63","RESERVED","LCD_SPI_RS","GPIO16",,,,
"64","RESERVED","LCD_RST","GPIO34",,"I2C0_SDA",,
"65","RESERVED","LCD_SPI_CS","GPIO32",,"I2C2_SDA",,
"66","RESERVED","LCD_SPI_DOUT","GPIO31",,,,
"67","RESERVED","LCD_SPI_CLK","GPIO33",,"I2C2_SCL",,
"68","RESERVED","CAM_VDDIO",,,,,
"69","RESERVED","GPIO1","GPIO17",,,"PWM3",
"70","RESERVED","GPIO2","GPIO18",,,"PWM2",
"71","DBG_TXD","DBG_TXD","GPIO40","UART0_TXD",,,
"72","DBG_RXD","DBG_RXD","GPIO41","UART0_RXD",,,
"73","GND","GND",,,,,
"74","PWRKEY","PWRKEY",,,,,
"75","RESET_N","RESET_N",,,,,
"76","VDD_EXT","VDD_EXT",,,,,
"77","GND","GND",,,,,
"78","GND","GND",,,,,
"79","GND","GND",,,,,
"80","GND","GND",,,,,
"81","GND","GND",,,,,
"82","GND","GND",,,,,
"83","GND","GND",,,,,
"84","GND","GND",,,,,
"85","GND","GND",,,,,
"86","GND","GND",,,,,
"87","GND","GND",,,,,
"88","GND","GND",,,,,
"89","GND","GND",,,,,
"90","GND","GND",,,,,
"91","GND","GND",,,,,
"92","GND","GND",,,,,
"109","RESERVED","RESERVED","GPIO42",,,,
"110","RESERVED","RESERVED","GPIO43",,,,
"111","RESERVED","RESERVED","GPIO45",,,,
"112","RESERVED","RESERVED","GPIO44",,,,
"145","USIM2_RST","USIM2_RST",,,,,
"146","USIM2_DATA","USIM2_DATA",,,,,
"147","USIM2_CLK","USIM2_CLK",,,,,
"148","USIM2_VDD","USIM2_VDD",,,,,